time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-07_07:00:00 0.01 24.81 92.18 1.37 170.59 0.0 0.0 0.0 0.0
2023-08-07_07:15:00 0.04 25.73 88.76 2.12 185.5 313.69 683.33 640.86 42.47
2023-08-07_07:30:00 0.06 26.03 87.38 2.25 180.95 313.69 657.64 615.17 42.47
2023-08-07_07:45:00 0.05 26.47 85.64 2.26 190.25 374.74 430.54 146.53 284.01
2023-08-07_08:00:00 0.04 26.78 84.25 2.14 196.38 374.74 423.02 139.01 284.01
2023-08-07_08:15:00 0.05 27.28 82.51 2.56 195.4 541.65 628.88 528.14 100.75
2023-08-07_08:30:00 0.06 27.54 81.26 2.8 213.82 541.65 594.59 493.84 100.75
2023-08-07_08:45:00 0.04 27.92 79.59 3.26 219.29 608.01 566.06 325.87 240.19
2023-08-07_09:00:00 0.02 28.24 78.05 3.64 222.37 608.01 539.25 299.05 240.19
2023-08-07_09:15:00 0.01 28.59 76.51 3.65 223.19 587.04 428.75 300.21 128.54
2023-08-07_09:30:00 0.0 28.85 75.19 3.76 224.79 587.04 396.93 268.39 128.54
2023-08-07_09:45:00 0.0 29.21 73.54 3.97 227.29 638.91 345.05 259.0 86.04
2023-08-07_10:00:00 0.0 29.44 72.25 3.96 229.31 638.91 308.36 222.31 86.04
2023-08-07_10:15:00 0.0 29.94 70.16 4.12 232.79 910.97 327.48 264.39 63.1
2023-08-07_10:30:00 0.0 30.22 68.59 3.97 237.27 910.97 273.61 210.52 63.1
2023-08-07_10:45:00 0.0 30.56 66.77 3.86 237.94 956.57 225.0 155.53 69.47
2023-08-07_11:00:00 0.0 30.87 65.15 4.07 239.78 956.57 171.82 102.35 69.47
2023-08-07_11:15:00 0.0 31.22 63.48 4.0 238.19 995.35 121.17 53.1 68.06
2023-08-07_11:30:00 0.0 31.49 62.04 3.9 239.27 995.35 68.06 0.0 68.06
2023-08-07_11:45:00 0.0 31.77 60.54 3.77 238.96 1020.23 65.68 0.0 65.68
2023-08-07_12:00:00 0.0 32.01 59.2 3.75 240.1 1020.23 65.68 0.0 65.68
2023-08-07_12:15:00 0.0 32.23 58.05 3.64 241.82 1019.92 65.69 0.0 65.69
2023-08-07_12:30:00 0.0 32.46 57.05 3.66 244.9 1019.92 65.69 0.0 65.69
2023-08-07_12:45:00 0.0 32.63 56.2 3.73 246.79 1001.58 65.26 0.0 65.26
2023-08-07_13:00:00 0.0 32.85 55.17 3.87 247.88 1001.58 65.26 0.0 65.26
