time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-22_07:00:00 0.85 27.66 75.36 3.68 231.69 0.0 0.0 0.0 0.0
2023-08-22_07:15:00 0.83 28.57 73.07 4.25 234.72 359.82 665.95 621.79 44.16
2023-08-22_07:30:00 0.8 28.85 71.15 4.51 233.57 359.82 637.22 593.06 44.16
2023-08-22_07:45:00 0.82 29.25 68.9 4.76 233.86 466.18 630.82 581.93 48.89
2023-08-22_08:00:00 0.78 29.51 67.39 4.92 234.19 466.18 596.55 547.66 48.89
2023-08-22_08:15:00 0.77 29.89 65.81 5.12 236.32 584.9 595.53 540.48 55.05
2023-08-22_08:30:00 0.75 30.13 64.82 5.22 239.35 584.9 555.14 500.08 55.05
2023-08-22_08:45:00 0.79 30.46 63.67 5.26 239.1 696.05 537.29 476.92 60.37
2023-08-22_09:00:00 0.83 30.74 62.6 5.21 240.48 696.05 491.61 431.24 60.37
2023-08-22_09:15:00 0.79 30.95 61.97 4.86 239.25 706.81 465.8 283.69 182.11
2023-08-22_09:30:00 0.72 31.24 61.22 4.58 235.68 706.81 429.98 247.87 182.11
2023-08-22_09:45:00 0.73 31.73 60.03 4.46 235.01 861.98 389.4 278.22 111.18
2023-08-22_10:00:00 0.69 32.01 59.76 4.26 235.6 861.98 340.36 229.18 111.18
2023-08-22_10:15:00 0.65 32.29 59.64 4.1 235.52 925.98 303.19 180.51 122.68
2023-08-22_10:30:00 0.63 32.49 59.36 3.87 236.8 925.98 253.17 130.49 122.68
2023-08-22_10:45:00 0.62 32.71 58.79 3.72 235.27 976.16 159.01 87.39 71.61
2023-08-22_11:00:00 0.61 32.88 58.21 3.71 233.72 976.16 109.26 37.65 71.61
2023-08-22_11:15:00 0.58 33.04 57.81 3.67 234.13 1005.78 66.27 0.0 66.27
2023-08-22_11:30:00 0.61 33.15 57.75 3.46 235.64 1005.78 66.27 0.0 66.27
2023-08-22_11:45:00 0.69 33.28 57.58 3.45 238.22 1015.69 62.42 0.0 62.42
2023-08-22_12:00:00 0.76 33.4 57.34 3.7 241.02 1015.69 62.42 0.0 62.42
2023-08-22_12:15:00 0.75 33.43 57.52 3.94 248.3 1001.36 150.36 0.0 150.36
2023-08-22_12:30:00 0.71 33.46 57.5 4.04 253.94 1001.36 150.36 0.0 150.36
2023-08-22_12:45:00 0.7 33.51 57.14 4.05 256.44 968.32 232.5 0.0 232.5
2023-08-22_13:00:00 0.7 33.57 57.22 4.09 256.51 968.32 232.5 0.0 232.5
2023-08-22_13:15:00 0.69 33.65 57.13 4.11 257.46 930.26 163.99 0.0 163.99
2023-08-22_13:30:00 0.69 33.78 56.71 4.1 254.01 930.26 163.99 0.0 163.99
2023-08-22_13:45:00 0.64 33.86 56.43 4.11 249.45 871.74 99.29 0.0 99.29
2023-08-22_14:00:00 0.62 33.96 56.13 4.23 243.09 871.74 99.29 0.0 99.29
2023-08-22_14:15:00 0.59 34.0 56.08 4.32 239.3 795.76 58.01 0.0 58.01
2023-08-22_14:30:00 0.57 34.04 56.06 4.32 237.99 795.76 58.01 0.0 58.01
2023-08-22_14:45:00 0.58 34.01 56.31 4.43 237.62 706.58 55.6 0.0 55.6
2023-08-22_15:00:00 0.54 34.02 56.52 4.58 238.87 706.58 55.6 0.0 55.6
2023-08-22_15:15:00 0.5 33.93 56.79 4.77 240.06 595.7 52.34 0.0 52.34
2023-08-22_15:30:00 0.42 33.89 56.75 4.9 243.29 595.7 52.34 0.0 52.34
2023-08-22_15:45:00 0.36 33.72 57.41 4.85 244.4 490.82 49.33 0.0 49.33
2023-08-22_16:00:00 0.38 33.62 57.99 4.64 243.14 490.82 49.33 0.0 49.33
2023-08-22_16:15:00 0.44 33.41 58.76 4.52 239.05 373.17 44.7 0.0 44.7
2023-08-22_16:30:00 0.45 33.34 59.12 4.51 236.56 373.17 44.7 0.0 44.7
2023-08-22_16:45:00 0.45 33.08 60.37 4.29 234.28 251.1 38.7 0.0 38.7
2023-08-22_17:00:00 0.5 32.99 61.03 4.23 228.97 251.1 38.7 0.0 38.7
2023-08-22_17:15:00 0.59 32.71 62.19 4.08 227.85 132.28 29.81 0.0 29.81
2023-08-22_17:30:00 0.61 32.59 62.95 3.83 227.63 132.28 29.81 0.0 29.81
2023-08-22_17:45:00 0.54 31.96 65.7 3.44 226.83 28.09 13.16 0.0 13.16
2023-08-22_18:00:00 0.56 31.65 67.45 3.46 227.31 28.09 13.16 0.0 13.16
2023-08-22_18:15:00 0.64 31.14 69.13 3.29 226.92 0.0 0.0 0.0 0.0
2023-08-22_18:30:00 0.61 30.87 70.21 3.24 224.02 0.0 0.0 0.0 0.0
2023-08-22_18:45:00 0.59 30.51 71.74 3.15 213.42 0.0 0.0 0.0 0.0
2023-08-22_19:00:00 0.55 30.26 72.72 3.25 197.11 0.0 0.0 0.0 0.0
2023-08-22_19:15:00 0.63 29.99 74.13 3.15 191.93 0.0 0.0 0.0 0.0
2023-08-22_19:30:00 0.64 29.79 75.19 3.42 181.67 0.0 0.0 0.0 0.0
2023-08-22_19:45:00 0.68 29.62 75.95 3.91 175.58 0.0 0.0 0.0 0.0
2023-08-22_20:00:00 0.56 29.56 76.04 4.34 178.45 0.0 0.0 0.0 0.0
2023-08-22_20:15:00 0.57 29.46 76.04 4.4 182.49 0.0 0.0 0.0 0.0
2023-08-22_20:30:00 0.6 29.38 76.1 4.43 183.98 0.0 0.0 0.0 0.0
2023-08-22_20:45:00 0.69 29.28 76.24 4.39 189.4 0.0 0.0 0.0 0.0
2023-08-22_21:00:00 0.63 29.24 75.85 4.57 192.95 0.0 0.0 0.0 0.0
2023-08-22_21:15:00 0.52 29.21 75.32 4.69 197.69 0.0 0.0 0.0 0.0
2023-08-22_21:30:00 0.52 29.16 74.93 4.62 206.37 0.0 0.0 0.0 0.0
2023-08-22_21:45:00 0.57 29.0 74.98 4.18 213.6 0.0 0.0 0.0 0.0
2023-08-22_22:00:00 0.52 28.83 75.19 3.67 216.38 0.0 0.0 0.0 0.0
2023-08-22_22:15:00 0.4 28.71 75.24 3.57 216.75 0.0 0.0 0.0 0.0
2023-08-22_22:30:00 0.39 28.64 75.04 3.74 220.92 0.0 0.0 0.0 0.0
2023-08-22_22:45:00 0.41 28.54 75.03 3.74 224.74 0.0 0.0 0.0 0.0
2023-08-22_23:00:00 0.4 28.42 75.25 3.45 230.05 0.0 0.0 0.0 0.0
2023-08-22_23:15:00 0.44 28.31 75.42 3.18 237.39 0.0 0.0 0.0 0.0
2023-08-22_23:30:00 0.44 28.22 75.5 2.82 237.46 0.0 0.0 0.0 0.0
2023-08-22_23:45:00 0.4 28.18 75.35 2.88 232.72 0.0 0.0 0.0 0.0
2023-08-23_00:00:00 0.29 28.12 75.42 2.97 230.04 0.0 0.0 0.0 0.0
2023-08-23_00:15:00 0.28 28.09 75.32 3.06 233.56 0.0 0.0 0.0 0.0
2023-08-23_00:30:00 0.31 28.07 75.12 3.12 236.58 0.0 0.0 0.0 0.0
2023-08-23_00:45:00 0.4 28.04 74.94 2.97 231.52 0.0 0.0 0.0 0.0
2023-08-23_01:00:00 0.45 28.05 74.61 3.01 229.74 0.0 0.0 0.0 0.0
2023-08-23_01:15:00 0.45 28.03 74.43 2.96 228.39 0.0 0.0 0.0 0.0
2023-08-23_01:30:00 0.4 28.08 73.9 3.17 220.15 0.0 0.0 0.0 0.0
2023-08-23_01:45:00 0.35 28.11 73.67 3.4 217.37 0.0 0.0 0.0 0.0
2023-08-23_02:00:00 0.44 28.09 73.75 3.41 219.3 0.0 0.0 0.0 0.0
2023-08-23_02:15:00 0.55 28.2 73.29 3.74 220.06 0.0 0.0 0.0 0.0
2023-08-23_02:30:00 0.62 28.15 73.66 3.83 221.66 0.0 0.0 0.0 0.0
2023-08-23_02:45:00 0.6 28.16 73.78 4.06 223.61 0.0 0.0 0.0 0.0
2023-08-23_03:00:00 0.64 28.08 74.35 4.06 225.45 0.0 0.0 0.0 0.0
2023-08-23_03:15:00 0.72 28.08 74.44 4.0 224.34 0.0 0.0 0.0 0.0
2023-08-23_03:30:00 0.75 28.17 74.23 4.39 223.31 0.0 0.0 0.0 0.0
2023-08-23_03:45:00 0.74 28.16 74.48 4.63 226.45 0.0 0.0 0.0 0.0
2023-08-23_04:00:00 0.77 28.14 74.81 4.73 229.08 0.0 0.0 0.0 0.0
2023-08-23_04:15:00 0.84 28.1 75.18 4.49 231.36 0.0 0.0 0.0 0.0
