time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-08-30_07:00:00 0.48 26.86 86.66 3.56 238.41 0.0 0.0 0.0 0.0
2023-08-30_07:15:00 0.45 27.63 82.82 4.02 243.1 306.0 654.08 612.21 41.87
2023-08-30_07:30:00 0.44 27.95 81.04 4.26 242.51 306.0 627.02 585.15 41.87
2023-08-30_07:45:00 0.43 28.48 78.5 4.17 244.97 428.75 639.85 575.21 64.64
2023-08-30_08:00:00 0.5 28.82 76.68 4.35 246.69 428.75 607.16 542.51 64.64
2023-08-30_08:15:00 0.54 29.18 74.76 4.72 249.64 459.54 465.98 74.14 391.83
2023-08-30_08:30:00 0.53 29.39 73.4 4.8 250.44 459.54 460.6 68.77 391.83
2023-08-30_08:45:00 0.53 29.63 71.94 4.95 251.19 484.02 480.0 6.06 473.94
2023-08-30_09:00:00 0.51 29.84 70.51 4.95 252.56 484.02 479.43 5.5 473.94
2023-08-30_09:15:00 0.52 30.26 68.39 5.15 253.08 600.41 585.2 17.11 568.09
2023-08-30_09:30:00 0.54 30.5 66.94 5.19 254.46 600.41 583.1 15.01 568.09
2023-08-30_09:45:00 0.55 30.87 65.11 5.22 256.54 677.6 657.32 11.16 646.16
2023-08-30_10:00:00 0.59 31.09 63.85 5.12 258.74 677.6 655.4 9.25 646.16
2023-08-30_10:15:00 0.61 31.27 62.9 5.09 261.34 655.53 647.53 1.4 646.13
2023-08-30_10:30:00 0.61 31.42 62.27 5.22 259.95 655.53 647.16 1.02 646.13
2023-08-30_10:45:00 0.59 31.63 61.65 5.29 257.6 716.15 694.29 2.18 692.11
2023-08-30_11:00:00 0.6 31.78 61.25 5.21 255.39 716.15 693.08 0.98 692.11
2023-08-30_11:15:00 0.55 31.91 61.0 5.33 253.38 660.93 596.38 0.0 596.38
2023-08-30_11:30:00 0.53 32.03 60.89 5.31 251.8 660.93 596.38 0.0 596.38
