time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-07_07:00:00 0.35 26.11 87.94 1.31 248.87 0.0 0.0 0.0 0.0
2023-09-07_07:15:00 0.32 27.23 82.48 1.36 239.32 356.38 646.09 602.38 43.7
2023-09-07_07:30:00 0.27 27.48 81.05 1.49 229.9 356.38 615.57 571.86 43.7
2023-09-07_07:45:00 0.32 27.85 79.42 1.35 215.9 457.07 557.49 398.0 159.49
2023-09-07_08:00:00 0.33 28.03 78.74 1.82 208.74 457.07 531.64 372.15 159.49
2023-09-07_08:15:00 0.32 28.32 77.7 1.96 206.28 590.96 571.87 499.57 72.3
2023-09-07_08:30:00 0.35 28.55 76.74 1.97 205.03 590.96 530.26 457.96 72.3
2023-09-07_08:45:00 0.33 28.83 75.61 2.22 200.01 675.64 529.18 328.32 200.86
2023-09-07_09:00:00 0.34 29.03 74.9 2.55 195.32 675.64 493.52 292.65 200.86
2023-09-07_09:15:00 0.34 29.27 74.17 2.91 188.91 748.18 524.46 207.9 316.56
2023-09-07_09:30:00 0.35 29.44 73.74 3.35 187.2 748.18 493.78 177.22 316.56
2023-09-07_09:45:00 0.38 29.54 73.52 3.65 186.5 737.82 577.92 71.24 506.68
2023-09-07_10:00:00 0.41 29.62 73.34 4.01 186.74 737.82 562.4 55.72 506.68
2023-09-07_10:15:00 0.41 29.57 73.67 4.21 184.78 620.02 601.84 2.91 598.93
2023-09-07_10:30:00 0.4 29.54 74.06 4.65 183.64 620.02 600.7 1.78 598.93
2023-09-07_10:45:00 0.34 29.45 74.67 4.95 188.45 649.51 620.73 0.98 619.75
2023-09-07_11:00:00 0.34 29.42 74.86 5.21 191.7 649.51 619.75 0.0 619.75
2023-09-07_11:15:00 0.36 29.58 74.5 4.84 196.36 731.69 613.68 0.0 613.68
2023-09-07_11:30:00 0.3 29.76 73.74 4.95 197.11 731.69 613.68 0.0 613.68
2023-09-07_11:45:00 0.26 30.03 72.7 5.39 194.35 859.05 724.72 0.0 724.72
2023-09-07_12:00:00 0.23 30.12 72.43 5.83 193.63 859.05 724.72 0.0 724.72
2023-09-07_12:15:00 0.3 30.29 71.99 5.94 195.59 888.06 563.55 0.0 563.55
2023-09-07_12:30:00 0.26 30.32 72.08 6.18 194.8 888.06 563.55 0.0 563.55
2023-09-07_12:45:00 0.23 30.3 72.4 6.29 194.82 925.15 204.5 0.0 204.5
2023-09-07_13:00:00 0.26 30.36 72.34 6.48 200.73 925.15 204.5 0.0 204.5
