time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-08_07:00:00 0.42 25.96 89.18 1.71 237.31 0.0 0.0 0.0 0.0
2023-09-08_07:15:00 0.38 27.2 84.23 2.28 245.99 360.52 637.33 593.88 43.45
2023-09-08_07:30:00 0.38 27.49 82.44 2.48 246.51 360.52 607.1 563.66 43.45
2023-09-08_07:45:00 0.37 28.02 79.84 2.45 244.25 481.46 615.5 567.69 47.81
2023-09-08_08:00:00 0.32 28.33 78.05 2.4 243.11 481.46 578.5 530.69 47.81
2023-09-08_08:15:00 0.3 28.68 76.27 2.33 241.3 595.48 564.42 513.26 51.16
2023-09-08_08:30:00 0.33 28.97 74.77 1.84 238.96 595.48 521.54 470.38 51.16
2023-09-08_08:45:00 0.35 29.38 73.09 1.26 236.69 683.0 519.12 345.22 173.89
2023-09-08_09:00:00 0.36 29.66 71.96 0.97 227.41 683.0 481.5 307.6 173.89
2023-09-08_09:15:00 0.36 29.94 70.91 0.58 239.65 717.14 601.01 102.24 498.77
2023-09-08_09:30:00 0.37 30.18 70.11 0.24 291.35 717.14 585.88 87.11 498.77
2023-09-08_09:45:00 0.39 30.42 69.5 0.62 23.08 753.95 659.34 40.16 619.18
2023-09-08_10:00:00 0.41 30.54 69.54 1.53 38.74 753.95 650.56 31.38 619.18
2023-09-08_10:15:00 0.44 30.59 69.87 1.85 53.91 796.94 704.33 17.08 687.25
2023-09-08_10:30:00 0.44 30.57 70.38 2.12 62.71 796.94 697.65 10.4 687.25
2023-09-08_10:45:00 0.39 30.53 70.94 2.4 62.13 821.24 718.56 3.7 714.86
2023-09-08_11:00:00 0.39 30.46 71.59 2.57 64.68 821.24 714.86 0.0 714.86
2023-09-08_11:15:00 0.38 30.47 72.02 2.82 64.88 855.09 715.29 0.0 715.29
2023-09-08_11:30:00 0.4 30.44 72.6 3.16 64.58 855.09 715.29 0.0 715.29
2023-09-08_11:45:00 0.36 30.38 73.31 3.3 63.24 907.43 628.02 0.0 628.02
2023-09-08_12:00:00 0.28 30.32 73.91 3.39 59.84 907.43 628.02 0.0 628.02
2023-09-08_12:15:00 0.26 30.34 74.24 3.62 59.45 969.34 201.22 0.0 201.22
2023-09-08_12:30:00 0.23 30.34 74.59 3.98 59.65 969.34 201.22 0.0 201.22
2023-09-08_12:45:00 0.21 30.22 75.32 4.22 59.46 910.59 76.7 0.0 76.7
2023-09-08_13:00:00 0.22 30.19 75.49 4.43 59.75 910.59 76.7 0.0 76.7
2023-09-08_13:15:00 0.19 30.18 75.58 4.64 63.12 914.02 60.2 0.0 60.2
2023-09-08_13:30:00 0.17 30.11 75.86 4.69 66.42 914.02 60.2 0.0 60.2
