time clf t2 rh ws wd ghi poa_global poa_direct poa_diffuse
2023-09-30_07:00:00 0.93 25.12 91.67 3.24 320.32 0.0 0.0 0.0 0.0
2023-09-30_07:15:00 0.95 25.9 87.86 3.57 320.4 325.72 597.42 553.37 44.06
2023-09-30_07:30:00 0.97 26.13 86.57 3.63 322.41 325.72 567.48 523.42 44.06
2023-09-30_07:45:00 0.98 26.49 85.04 3.75 323.72 364.58 373.44 43.5 329.93
2023-09-30_08:00:00 0.98 26.74 83.98 3.63 324.34 364.58 370.39 40.46 329.93
2023-09-30_08:15:00 0.98 26.73 83.94 3.43 329.88 268.36 266.81 0.25 266.56
2023-09-30_08:30:00 0.98 26.79 83.71 3.29 335.58 268.36 266.79 0.23 266.56
2023-09-30_08:45:00 0.97 26.84 83.73 3.22 338.11 170.66 169.69 0.0 169.68
2023-09-30_09:00:00 0.96 26.79 84.21 3.25 338.07 170.66 169.68 0.0 169.68
2023-09-30_09:15:00 0.94 26.88 84.05 3.18 336.56 269.53 267.95 0.04 267.91
2023-09-30_09:30:00 0.94 26.92 83.98 2.97 337.87 269.53 267.94 0.03 267.91
2023-09-30_09:45:00 0.95 27.34 82.65 2.75 335.03 530.61 526.94 0.23 526.71
2023-09-30_10:00:00 0.96 27.54 81.67 2.51 331.94 530.61 526.88 0.17 526.71
2023-09-30_10:15:00 0.97 27.83 80.45 2.51 331.04 578.32 571.52 0.45 571.06
2023-09-30_10:30:00 0.96 28.07 79.39 2.62 329.54 578.32 571.25 0.19 571.06
2023-09-30_10:45:00 0.96 28.33 78.38 2.7 325.65 489.68 483.66 0.0 483.66
2023-09-30_11:00:00 0.96 28.54 77.29 2.8 327.37 489.68 483.66 0.0 483.66
2023-09-30_11:15:00 0.97 28.69 76.31 2.83 327.12 519.23 490.21 0.0 490.21
2023-09-30_11:30:00 0.97 28.85 75.46 2.84 324.25 519.23 490.21 0.0 490.21
2023-09-30_11:45:00 0.96 28.59 76.17 2.82 319.09 273.49 242.96 0.0 242.96
2023-09-30_12:00:00 0.92 28.61 76.01 2.77 313.92 273.49 242.96 0.0 242.96
2023-09-30_12:15:00 0.85 29.09 74.36 2.66 309.09 511.19 198.97 0.0 198.97
2023-09-30_12:30:00 0.78 29.3 73.47 2.57 304.86 511.19 198.97 0.0 198.97
2023-09-30_12:45:00 0.64 29.82 71.77 2.82 300.1 882.26 178.58 0.0 178.58
2023-09-30_13:00:00 0.52 30.12 70.98 2.88 298.12 882.26 178.58 0.0 178.58
2023-09-30_13:15:00 0.43 30.51 70.06 2.8 298.41 911.02 63.62 0.0 63.62
2023-09-30_13:30:00 0.33 30.81 69.44 2.91 296.15 911.02 63.62 0.0 63.62
2023-09-30_13:45:00 0.27 31.03 69.07 2.9 300.59 813.56 62.94 0.0 62.94
2023-09-30_14:00:00 0.19 31.33 68.4 2.92 303.55 813.56 62.94 0.0 62.94
2023-09-30_14:15:00 0.12 31.4 68.01 2.72 303.5 571.34 63.44 0.0 63.44
2023-09-30_14:30:00 0.07 31.67 66.75 2.56 307.82 571.34 63.44 0.0 63.44
2023-09-30_14:45:00 0.05 31.7 66.25 2.7 312.73 357.82 57.7 0.0 57.7
2023-09-30_15:00:00 0.03 31.8 65.6 3.07 313.12 357.82 57.7 0.0 57.7
2023-09-30_15:15:00 0.0 31.95 64.47 3.54 310.32 437.19 48.89 0.0 48.89
2023-09-30_15:30:00 0.0 31.96 64.06 3.66 304.13 437.19 48.89 0.0 48.89
2023-09-30_15:45:00 0.0 31.93 63.87 3.77 297.16 422.79 48.53 0.0 48.53
2023-09-30_16:00:00 0.0 31.93 64.13 3.33 293.14 422.79 48.53 0.0 48.53
2023-09-30_16:15:00 0.0 31.59 65.88 3.17 281.38 299.47 45.37 0.0 45.37
2023-09-30_16:30:00 0.01 31.41 67.43 3.33 273.33 299.47 45.37 0.0 45.37
2023-09-30_16:45:00 0.02 30.83 70.84 2.85 267.15 181.43 43.0 0.0 43.0
2023-09-30_17:00:00 0.02 30.57 72.74 2.79 256.52 181.43 43.0 0.0 43.0
2023-09-30_17:15:00 0.02 29.75 77.31 2.3 249.14 64.43 33.29 0.0 33.29
2023-09-30_17:30:00 0.05 29.58 78.6 2.17 243.68 64.43 33.29 0.0 33.29
2023-09-30_17:45:00 0.1 28.49 83.15 2.04 229.72 0.0 0.0 0.0 0.0
2023-09-30_18:00:00 0.11 28.36 83.66 2.28 218.92 0.0 0.0 0.0 0.0
2023-09-30_18:15:00 0.16 28.23 83.94 2.53 218.65 0.0 0.0 0.0 0.0
2023-09-30_18:30:00 0.19 28.02 84.99 2.36 218.81 0.0 0.0 0.0 0.0
2023-09-30_18:45:00 0.2 27.74 86.72 1.65 220.59 0.0 0.0 0.0 0.0
2023-09-30_19:00:00 0.18 27.62 87.2 1.36 224.21 0.0 0.0 0.0 0.0
2023-09-30_19:15:00 0.18 27.5 87.17 1.14 229.71 0.0 0.0 0.0 0.0
2023-09-30_19:30:00 0.29 27.38 87.54 1.15 266.79 0.0 0.0 0.0 0.0
2023-09-30_19:45:00 0.44 27.41 88.11 0.6 246.18 0.0 0.0 0.0 0.0
2023-09-30_20:00:00 0.44 27.31 88.3 0.74 269.37 0.0 0.0 0.0 0.0
2023-09-30_20:15:00 0.57 27.39 88.32 0.71 266.84 0.0 0.0 0.0 0.0
2023-09-30_20:30:00 0.6 27.33 88.6 0.63 242.08 0.0 0.0 0.0 0.0
2023-09-30_20:45:00 0.51 27.27 88.81 0.96 260.83 0.0 0.0 0.0 0.0
2023-09-30_21:00:00 0.54 27.25 88.88 1.13 267.97 0.0 0.0 0.0 0.0
2023-09-30_21:15:00 0.54 27.1 89.57 1.38 242.04 0.0 0.0 0.0 0.0
2023-09-30_21:30:00 0.5 27.11 89.07 1.78 244.9 0.0 0.0 0.0 0.0
2023-09-30_21:45:00 0.48 27.26 87.67 2.08 238.32 0.0 0.0 0.0 0.0
2023-09-30_22:00:00 0.49 27.25 87.08 2.19 237.75 0.0 0.0 0.0 0.0
2023-09-30_22:15:00 0.52 27.26 86.5 2.14 233.47 0.0 0.0 0.0 0.0
2023-09-30_22:30:00 0.5 27.17 86.28 2.37 249.39 0.0 0.0 0.0 0.0
2023-09-30_22:45:00 0.43 27.02 86.17 2.65 261.37 0.0 0.0 0.0 0.0
2023-09-30_23:00:00 0.44 26.75 87.21 2.8 268.78 0.0 0.0 0.0 0.0
2023-09-30_23:15:00 0.51 26.3 89.0 2.66 265.79 0.0 0.0 0.0 0.0
2023-09-30_23:30:00 0.54 26.16 89.0 2.63 269.06 0.0 0.0 0.0 0.0
2023-09-30_23:45:00 0.54 26.04 89.1 2.46 261.62 0.0 0.0 0.0 0.0
2023-10-01_00:00:00 0.52 25.95 89.17 2.39 257.99 0.0 0.0 0.0 0.0
2023-10-01_00:15:00 0.54 25.83 89.32 2.4 249.82 0.0 0.0 0.0 0.0
2023-10-01_00:30:00 0.55 25.78 89.29 2.41 251.21 0.0 0.0 0.0 0.0
2023-10-01_00:45:00 0.54 25.53 90.34 2.31 252.11 0.0 0.0 0.0 0.0
2023-10-01_01:00:00 0.54 25.42 91.15 2.02 249.73 0.0 0.0 0.0 0.0
2023-10-01_01:15:00 0.56 25.24 91.8 2.05 253.26 0.0 0.0 0.0 0.0
2023-10-01_01:30:00 0.53 25.17 92.11 2.13 258.09 0.0 0.0 0.0 0.0
2023-10-01_01:45:00 0.58 25.11 92.43 2.02 258.08 0.0 0.0 0.0 0.0
2023-10-01_02:00:00 0.57 25.04 92.78 2.0 260.57 0.0 0.0 0.0 0.0
2023-10-01_02:15:00 0.55 24.98 93.2 1.89 265.34 0.0 0.0 0.0 0.0
2023-10-01_02:30:00 0.57 24.95 93.2 2.01 267.07 0.0 0.0 0.0 0.0
2023-10-01_02:45:00 0.61 24.84 93.62 2.0 266.75 0.0 0.0 0.0 0.0
2023-10-01_03:00:00 0.68 24.81 93.64 2.09 271.48 0.0 0.0 0.0 0.0
2023-10-01_03:15:00 0.71 24.74 93.92 1.95 275.34 0.0 0.0 0.0 0.0
2023-10-01_03:30:00 0.71 24.71 93.88 1.99 275.69 0.0 0.0 0.0 0.0
2023-10-01_03:45:00 0.72 24.71 93.87 1.92 272.41 0.0 0.0 0.0 0.0
2023-10-01_04:00:00 0.7 24.72 93.65 2.14 267.83 0.0 0.0 0.0 0.0
2023-10-01_04:15:00 0.68 24.62 94.13 1.96 266.77 0.0 0.0 0.0 0.0
2023-10-01_04:30:00 0.6 24.57 94.28 1.96 269.83 0.0 0.0 0.0 0.0
2023-10-01_04:45:00 0.59 24.43 94.86 1.74 268.36 0.0 0.0 0.0 0.0
2023-10-01_05:00:00 0.55 24.38 95.05 1.73 264.19 0.0 0.0 0.0 0.0
2023-10-01_05:15:00 0.53 24.32 95.32 1.66 267.45 0.0 0.0 0.0 0.0
2023-10-01_05:30:00 0.52 24.24 95.65 1.55 266.82 0.0 0.0 0.0 0.0
2023-10-01_05:45:00 0.51 24.17 95.88 1.54 266.86 0.0 0.0 0.0 0.0
2023-10-01_06:00:00 0.47 24.14 95.9 1.64 263.9 0.0 0.0 0.0 0.0
2023-10-01_06:15:00 0.46 24.79 92.96 1.75 263.92 49.92 56.56 8.09 48.46
2023-10-01_06:30:00 0.44 24.82 92.94 1.68 268.57 49.92 56.31 7.85 48.46
